GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore2,29,119,14,14,11,28,13,5,0,4
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore1,12,86,2,4,6,24,2,5,0,4
